"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"
"Austria","10.4","4939.9","5617.4","10.4","4718.9","5404.5","10.4","4611.0","5206.0","10.4","5386.4","5082.5","10.3","5233.9","4945.4","10.2","4966.4","4750.6","10.0","5161.1","4465.7","10.2","4796.1","4299.5","10.2","4909.2","4189.3","9.7","5037.4","4024.8","9.5","4472.8","3760.6","9.5","3879.5","3592.1","9.6","3708.9","3381.7","9.7","3588.2","3288.1","9.5","3084.3","3073.5","9.4","2486.1","2935.8","9.3","2280.5","2761.8","9.2","2263.5","2707.2"
"Azerbaijan","6.7","275.8","1163.9","6.7","259.4","1155.0","6.7","370.5","1201.3","5.5","432.9","968.9","5.1","399.4","872.6","4.9","368.7","796.4","4.5","325.1","712.3","4.8","279.3","746.7","5.2","258.2","777.0","4.1","224.4","555.4","4.7","176.7","572.2","5.8","140.1","556.7","7.4","115.3","523.8","7.2","73.9","392.6","5.9","51.7","289.5","3.7","27.8","159.8","3.7","25.6","143.1","3.9","25.3","136.3"
"Bahamas","5.8","1771.5","1756.1","6.1","1837.3","1810.1","5.7","1741.9","1733.6","5.9","1689.1","1771.5","6.0","1697.3","1803.9","6.0","1742.8","1811.9","6.0","1661.7","1750.5","5.9","1657.6","1695.8","5.9","1670.0","1681.2","5.8","1748.5","1728.9","5.5","1714.8","1687.8","5.4","1631.4","1610.2","4.7","1389.4","1341.4","4.7","1308.7","1286.0","4.4","1223.8","1184.4","4.2","1192.6","1144.7","4.0","1101.0","1082.0","4.0","1093.6","1054.5"
"Bahrain","4.7","1127.2","2265.3","4.9","1099.4","2294.8","5.0","1128.8","2333.9","4.4","1101.0","2041.4","4.3","1066.4","1908.0","4.1","971.2","1714.3","3.6","805.2","1436.7","3.8","796.3","1527.2","4.1","785.3","1598.6","3.3","757.8","1332.0","3.3","693.0","1330.4","3.1","591.3","1199.1","3.2","570.3","1221.2","3.5","550.4","1298.6","4.0","567.2","1445.8","3.9","503.0","1363.2","3.7","484.9","1340.4","3.6","485.7","1268.5"
"Bangladesh","2.3","36.3","94.3","2.3","33.5","88.7","2.5","31.8","88.3","2.5","28.8","83.4","2.5","25.9","78.1","2.6","22.7","75.8","2.6","22.2","71.0","2.5","20.2","64.1","2.4","17.4","58.0","2.3","15.3","53.8","2.4","13.9","51.8","2.3","12.0","46.3","2.3","11.3","41.8","2.2","10.7","37.4","2.2","10.0","34.5","2.2","9.1","32.4","2.0","8.1","28.6","2.0","8.3","27.6"
"Barbados","6.8","1183.8","1343.2","6.9","1163.8","1323.9","7.0","1158.4","1262.5","7.1","1177.8","1252.1","7.6","1258.1","1311.2","7.8","1273.4","1291.9","6.9","1145.2","1135.6","6.8","1097.6","1089.9","7.1","1146.4","1134.1","6.5","1117.5","1070.4","6.1","1025.0","984.3","6.6","1009.5","1038.1","6.8","943.5","954.7","7.3","922.7","964.6","6.7","787.9","848.4","5.9","670.7","716.1","5.5","623.5","661.5","5.3","604.5","641.3"
"Belarus","5.9","342.5","1129.1","5.9","297.5","1072.1","6.1","361.0","1115.9","5.4","447.7","1019.9","5.7","453.8","1040.8","5.2","363.8","933.3","4.9","318.0","837.2","5.7","341.8","880.5","5.4","289.1","787.2","5.5","349.7","789.9","5.9","279.4","753.7","5.8","222.5","659.3","6.3","197.1","630.3","5.9","141.9","524.5","6.0","109.2","457.7","5.8","86.5","405.8","5.9","73.9","383.6","5.5","57.3","329.5"
"Belgium","10.3","4507.4","5119.1","10.3","4278.8","4873.9","10.3","4171.1","4702.4","10.4","4944.3","4657.1","10.4","4849.9","4531.0","10.3","4614.7","4368.6","10.1","4856.2","4199.1","10.0","4449.5","4015.6","10.1","4566.8","3867.8","9.3","4539.7","3574.8","8.9","3988.9","3312.5","8.9","3474.4","3164.6","9.0","3340.0","3011.7","9.1","3255.4","2948.7","9.1","2804.9","2833.5","8.3","2074.9","2524.6","8.1","1878.3","2352.5","7.9","1845.3","2225.5"
"Belize","5.6","280.5","481.0","6.1","300.2","513.4","5.9","289.6","505.2","5.7","273.1","474.5","5.7","266.3","460.9","5.4","249.5","432.9","5.6","254.4","442.6","5.8","250.3","444.3","5.8","246.5","437.4","5.1","226.4","386.3","5.0","218.1","375.0","4.6","192.7","338.4","4.7","184.3","328.0","4.6","174.8","309.5","4.8","175.2","308.2","4.5","160.0","268.1","4.7","160.8","269.9","4.1","139.3","228.2"
"Benin","3.7","30.8","84.7","3.9","30.4","83.7","4.0","31.3","84.7","3.6","34.4","77.1","3.9","35.8","78.4","4.7","39.1","88.3","4.2","34.9","76.9","4.1","31.0","72.9","3.9","30.6","68.4","3.7","30.2","65.1","4.0","27.9","67.2","4.1","25.4","65.3","4.0","24.1","62.0","4.2","24.5","63.7","4.1","21.5","60.4","4.2","17.4","59.1","4.4","16.8","61.1","4.2","15.8","55.9"
