"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"
"Cambodia","5.9","82.1","238.2","6.1","77.7","228.6","6.2","72.1","217.7","6.7","73.3","221.2","7.1","72.0","218.4","7.3","69.1","207.7","7.5","66.2","199.5","6.9","54.3","170.8","7.6","56.0","177.4","6.6","49.2","155.5","4.9","31.0","107.7","6.1","33.0","120.6","6.9","32.5","120.1","7.1","29.0","108.1","6.9","25.2","94.9","7.2","24.6","90.8","7.0","22.6","82.9","6.5","19.7","71.3"
"Cameroon","4.7","67.8","173.9","4.7","65.1","169.4","4.7","63.6","165.1","4.5","71.2","153.1","4.5","67.3","144.8","4.5","62.7","139.9","3.4","48.6","100.9","4.5","59.0","129.3","4.3","58.0","122.0","4.4","61.5","123.7","4.2","50.6","113.9","4.1","44.4","107.2","4.1","42.7","104.3","4.1","41.6","99.5","4.4","38.9","101.5","4.4","31.3","96.3","4.2","27.7","89.8","4.0","26.3","82.2"
"Canada","10.6","4754.9","4928.6","10.7","4518.1","4809.3","10.5","4539.1","4652.2","10.1","5081.6","4568.4","10.2","5345.3","4497.2","10.3","5408.9","4342.4","10.4","5361.2","4278.6","10.7","5044.1","4253.7","10.7","4347.7","4137.1","9.6","4453.6","3849.9","9.4","4190.4","3710.3","9.3","3767.3","3544.5","9.1","3282.9","3277.8","9.1","2913.4","3073.7","9.0","2551.5","2915.5","8.9","2150.9","2745.7","8.7","2054.4","2605.6","8.3","1998.6","2417.9"
"Central African Republic","5.8","24.2","42.0","4.3","16.4","29.7","6.3","22.0","41.9","4.9","18.3","30.6","4.8","16.3","29.8","3.9","18.7","37.1","3.8","18.8","34.6","3.7","16.7","32.3","4.3","19.6","36.3","4.0","18.4","33.2","4.8","18.9","38.5","4.5","15.5","34.1","4.8","15.4","34.3","4.2","13.0","29.3","4.6","12.9","29.6","4.3","10.5","28.8","3.9","9.2","25.4","4.4","10.4","27.6"
"Chad","4.5","29.7","87.3","5.0","34.6","100.5","4.5","35.3","99.9","4.3","44.0","94.2","4.1","40.2","84.9","3.9","37.6","77.4","3.9","38.7","73.0","4.1","36.5","76.7","4.4","35.9","75.6","4.1","37.9","68.0","4.3","35.0","71.5","4.9","34.8","78.1","4.8","32.1","77.6","5.5","28.3","85.1","5.5","18.2","64.4","7.3","18.2","75.5","5.3","11.8","51.8","5.5","10.3","48.6"
"Chile","9.0","1382.0","2228.6","8.5","1190.5","1980.8","8.3","1140.1","1905.6","7.8","1154.8","1793.7","7.4","1186.8","1680.9","7.0","1083.5","1517.9","6.8","995.8","1384.0","6.8","871.3","1235.5","7.2","738.5","1168.9","6.7","726.7","1115.4","6.2","650.1","1048.7","6.0","572.4","952.8","6.6","501.8","841.7","6.9","428.6","817.3","7.3","351.1","797.5","7.3","324.3","753.7","7.2","328.6","716.4","7.0","358.8","675.6"
"China","5.2","440.8","841.1","5.0","398.3","763.0","4.9","392.8","705.6","4.8","361.7","634.7","4.7","328.2","574.7","4.5","283.5","508.2","4.3","237.9","438.6","4.2","187.7","384.1","4.3","163.7","357.1","3.9","132.8","292.0","3.7","97.7","248.9","3.9","81.8","229.2","4.1","72.4","210.1","4.3","63.7","188.1","4.4","56.0","172.2","4.3","49.5","152.9","4.2","43.9","134.6","4.5","42.4","129.5"
"Colombia","7.2","459.2","1039.2","7.2","419.3","1017.1","7.3","444.1","1007.1","7.1","569.9","956.5","7.3","585.8","919.5","6.8","533.7","811.4","6.8","489.4","778.5","7.1","441.3","748.7","7.3","374.1","739.5","6.9","369.0","688.0","6.5","301.6","627.5","6.4","233.6","565.5","6.1","204.1","498.4","5.8","155.2","434.8","5.8","126.0","403.5","5.8","128.2","374.4","6.0","134.2","375.4","5.7","130.3","344.8"
"Comoros","7.4","58.8","123.2","7.5","57.5","120.2","7.8","58.2","121.9","7.6","68.4","120.8","7.8","68.9","120.2","7.9","65.3","117.7","9.1","78.6","134.0","8.5","67.1","121.2","8.6","68.1","117.8","9.0","72.4","119.1","9.3","67.7","120.5","9.7","62.4","122.3","9.9","62.4","123.3","10.3","62.6","120.5","10.3","57.4","122.4","11.0","48.3","127.2","10.9","43.3","123.0","12.2","45.6","133.5"
"Congo","2.9","50.0","164.8","3.5","52.9","170.3","3.4","58.4","202.1","2.5","72.5","145.7","2.5","73.4","136.6","2.5","72.9","132.7","1.9","60.7","99.0","2.0","55.4","102.9","2.2","48.8","102.9","2.6","63.1","99.5","2.2","42.0","86.8","1.8","35.9","79.7","1.9","30.7","79.2","2.1","27.1","82.4","2.1","21.1","80.2","1.9","16.6","71.1","2.4","20.0","87.1","1.7","16.9","60.1"
"Cook Islands","3.3","588.7","691.9","3.5","575.8","657.0","2.9","467.2","524.8","3.3","597.3","561.0","3.3","552.2","538.7","3.1","527.8","547.4","3.4","532.6","557.1","3.5","478.0","530.7","3.5","399.8","537.9","3.3","401.6","496.8","3.7","429.1","545.7","3.7","351.8","507.0","4.2","386.3","522.5","3.6","331.1","466.8","3.4","271.0","424.2","3.7","220.9","438.2","3.5","183.9","412.8","3.2","162.7","365.5"
"Costa Rica","7.3","869.1","1262.2","7.5","886.5","1237.0","7.8","891.3","1231.4","7.9","837.9","1197.0","7.9","831.7","1145.3","7.9","790.2","1119.3","8.2","755.0","1101.0","8.1","665.3","1033.2","7.9","538.4","959.9","7.5","519.3","926.3","7.0","430.5","823.7","7.0","365.6","745.4","6.7","314.5","657.1","6.7","294.7","618.5","7.0","291.7","615.4","6.9","280.3","579.3","6.5","258.8","528.9","6.6","251.1","516.1"
"Côte d'Ivoire","4.5","69.7","175.7","4.5","67.6","167.2","4.4","63.4","153.1","5.2","80.8","166.5","5.1","73.1","153.5","6.1","76.5","169.2","6.1","74.7","154.4","6.1","74.4","160.8","6.2","75.2","161.3","6.3","78.5","162.1","6.3","67.1","157.8","5.8","54.8","141.0","5.3","49.3","126.3","5.2","47.4","119.4","4.5","39.3","103.0","4.4","31.3","100.9","4.8","31.5","112.3","5.6","36.0","130.8"
"Croatia","6.8","902.1","1772.5","6.8","840.9","1667.6","6.8","795.5","1553.8","6.7","909.4","1475.2","6.5","889.9","1420.1","7.8","1030.0","1644.5","7.8","1132.5","1612.7","8.1","1126.4","1598.6","8.2","1187.5","1633.3","7.7","1258.9","1604.3","7.5","1041.0","1443.3","7.0","816.0","1215.8","6.9","727.1","1056.8","6.6","634.6","954.6","6.4","512.2","861.0","6.2","386.4","784.1","7.2","388.3","836.5","7.7","371.1","811.2"
"Cuba","11.7","987.6","2485.8","12.2","972.8","2463.0","12.8","975.0","3142.4","12.1","856.0","2675.1","10.4","705.2","2203.6","9.3","597.6","1867.4","11.3","692.6","2148.0","10.7","606.7","2022.2","12.3","674.1","2174.5","11.3","608.3","1962.3","11.0","568.6","1834.2","8.3","386.2","1287.4","8.8","330.9","1067.3","6.8","231.6","747.2","7.1","226.8","755.9","7.1","213.0","710.1","7.0","197.7","637.9","6.6","180.4","546.7"
"Cyprus","6.7","1731.7","2430.2","6.8","1636.8","2295.3","6.8","1582.1","2151.8","6.8","1846.2","2047.1","6.9","1919.6","2103.6","6.7","1943.2","2139.6","6.6","2153.4","2216.9","6.3","1959.3","2112.9","6.5","2105.5","2221.7","6.0","2155.2","2122.6","5.4","1694.3","1781.3","5.5","1474.0","1653.5","5.4","1366.0","1520.4","5.4","1287.0","1411.0","5.6","1145.1","1375.6","5.6","890.5","1330.5","5.3","782.2","1228.2","5.3","750.5","1135.9"
"Czechia","7.2","1475.9","2753.4","7.1","1321.6","2521.8","7.2","1284.0","2442.0","7.7","1512.9","2472.2","7.8","1554.5","2379.5","7.0","1387.4","2042.6","7.0","1516.6","2011.0","6.9","1373.9","1919.1","7.3","1442.2","2016.3","6.4","1449.3","1777.9","6.0","1110.2","1578.5","6.2","942.1","1475.3","6.4","852.7","1402.7","6.4","746.3","1328.4","6.6","640.7","1273.4","6.2","497.7","1127.1","5.9","388.5","1032.0","5.7","342.9","923.6"
"Democratic Republic of the Congo","4.0","19.4","37.3","3.9","20.6","38.0","3.9","19.9","34.7","4.0","19.4","33.0","3.6","16.3","27.4","3.6","14.3","24.2","3.4","12.6","22.3","4.0","12.9","24.9","4.6","13.6","28.0","5.1","16.4","30.7","4.4","12.4","25.5","4.5","11.3","24.5","4.3","9.3","22.6","4.4","8.6","22.1","3.8","6.7","18.0","2.7","4.7","12.0","2.7","6.1","12.1","1.6","20.2","7.1"
"Denmark","10.1","5800.2","5510.0","10.2","5565.6","5180.1","10.2","5469.3","5038.4","10.2","6380.8","4886.6","10.2","6236.6","4762.4","10.2","6003.8","4597.6","10.2","6281.0","4516.3","10.3","6011.5","4453.6","10.7","6221.7","4315.1","9.5","6137.8","3938.9","9.3","5468.4","3643.4","9.2","4778.9","3425.7","9.1","4442.8","3109.0","9.0","4194.9","2968.0","8.9","3607.0","2744.7","8.7","2895.8","2670.2","8.4","2602.6","2492.5","8.1","2496.0","2327.1"
"Djibouti","3.3","70.3","117.2","3.7","75.1","130.7","4.4","81.7","146.7","4.1","72.0","130.6","4.1","66.5","122.0","4.6","71.2","131.5","4.7","67.8","128.2","4.3","55.5","108.0","4.5","54.7","109.4","4.5","53.5","106.2","4.8","50.2","108.8","4.9","47.2","104.6","4.5","41.0","91.1","4.7","40.3","89.6","5.6","46.2","103.0","5.0","40.2","89.7","3.9","31.1","68.6","4.1","32.0","70.3"
"Dominica","5.9","439.6","656.7","5.2","412.0","576.2","5.4","395.9","568.4","5.5","396.3","596.9","5.3","371.9","549.2","5.8","393.1","592.9","5.3","372.7","540.8","5.6","384.9","556.2","5.6","385.2","551.5","5.5","352.5","541.0","5.4","318.7","487.0","5.2","288.1","435.3","5.2","269.8","404.8","5.1","267.6","383.4","5.3","261.8","378.9","5.4","259.7","357.0","5.3","260.8","355.9","5.2","250.7","341.6"
"Dominican Republic","6.1","433.2","985.7","6.1","414.3","929.4","6.0","391.0","855.9","5.8","371.3","782.4","5.8","351.4","711.8","5.9","351.7","689.5","5.7","327.9","642.1","5.6","303.6","608.4","5.1","251.3","512.6","4.7","236.0","474.5","4.2","194.6","407.1","4.0","161.4","355.4","4.4","168.6","349.3","4.3","105.1","309.0","4.4","104.7","304.7","5.0","153.2","349.3","4.9","143.7","327.3","4.9","138.6","317.4"
"Ecuador","8.3","518.0","958.9","8.3","506.0","937.0","8.6","528.2","985.9","8.6","551.5","993.1","8.6","519.9","946.8","8.5","483.5","892.1","7.9","410.8","780.8","7.1","331.7","652.4","6.4","274.0","572.2","5.8","248.6","518.7","5.9","210.6","490.6","5.7","190.6","461.2","5.6","168.6","427.4","5.6","150.3","397.9","5.4","132.4","355.5","4.5","97.4","283.5","3.7","71.2","228.7","3.3","48.1","194.1"
"Egypt","5.3","105.8","613.8","5.4","151.5","597.9","5.3","180.8","575.4","4.7","153.8","489.9","4.7","140.3","473.7","4.6","143.4","455.8","4.4","123.3","450.1","4.2","111.4","421.7","4.4","104.9","426.1","4.5","95.6","419.8","4.4","77.7","389.2","4.8","70.2","392.4","4.9","62.8","368.7","4.9","53.1","343.7","5.2","53.0","352.2","5.5","67.2","359.7","5.4","72.0","345.6","4.9","72.5","303.1"
"El Salvador","7.2","282.5","582.7","7.7","293.8","602.9","7.6","283.3","578.7","7.7","276.3","559.5","7.7","271.5","543.8","7.5","259.2","512.0","8.1","266.8","530.3","8.2","246.5","508.3","8.4","240.9","503.7","7.7","225.6","468.1","7.6","213.6","449.9","7.9","209.3","448.3","8.4","205.7","445.9","8.5","194.4","425.6","8.4","186.4","408.1","8.8","187.1","413.6","8.8","183.5","405.5","8.9","179.3","400.0"
"Equatorial Guinea","3.1","301.2","758.9","3.2","290.3","824.4","2.9","326.9","857.7","2.2","422.0","730.9","1.9","379.8","636.8","1.3","272.4","458.9","1.6","333.3","533.9","1.8","311.6","600.8","1.8","304.9","691.4","1.8","416.0","703.0","1.6","247.7","526.5","1.5","193.4","450.1","1.5","162.7","418.7","1.7","143.4","570.8","2.0","107.2","533.8","2.4","74.7","440.4","2.3","60.2","361.8","2.3","43.7","219.7"
"Eritrea","2.9","32.9","59.3","2.9","29.4","54.4","2.9","26.3","48.9","2.8","23.5","47.7","2.8","21.4","47.1","2.9","19.7","47.0","4.1","24.2","62.7","3.5","16.7","48.0","4.4","18.8","59.5","3.9","12.7","51.8","4.1","13.0","60.2","5.3","15.8","76.7","5.3","14.7","77.0","5.4","15.6","76.4","5.7","13.2","79.2","5.2","10.4","75.2","4.6","9.9","65.8","4.5","9.3","59.4"
"Estonia","6.4","1300.5","2153.3","6.5","1185.3","2009.1","6.4","1112.5","1866.4","6.1","1237.3","1770.0","6.0","1144.3","1649.7","5.8","1013.4","1513.6","5.8","1014.6","1426.7","6.3","926.5","1365.1","6.5","963.0","1340.1","5.8","1038.6","1302.4","5.0","832.7","1103.0","4.8","600.5","917.7","5.1","524.7","838.4","5.2","455.1","741.4","4.9","349.1","635.6","4.7","250.5","546.9","4.8","214.7","491.7","5.2","209.7","485.1"
"Eswatini","6.9","224.7","600.1","6.8","193.8","578.9","7.1","217.2","590.5","7.3","247.8","609.8","7.5","269.6","613.2","7.9","306.2","607.9","8.5","333.2","620.3","8.6","317.0","614.0","8.6","261.8","598.3","8.9","251.8","611.2","7.9","241.7","541.8","7.8","229.9","506.7","7.4","212.0","442.9","6.8","172.4","377.7","6.4","128.9","334.4","5.5","73.2","274.9","5.1","73.9","243.1","4.6","75.5","213.3"
"Ethiopia","3.5","25.3","66.7","3.9","26.7","66.9","3.9","24.9","64.6","4.0","22.4","60.7","4.1","20.0","56.0","4.5","20.7","56.9","4.5","15.1","52.0","5.5","16.7","57.5","4.6","15.6","44.0","4.3","13.4","38.0","5.0","11.9","40.4","4.5","8.6","32.3","4.1","6.6","26.8","4.3","5.9","25.1","4.9","5.8","25.1","4.7","5.2","24.9","4.7","5.6","24.9","4.4","5.4","21.4"
"Fiji","3.5","188.4","322.8","3.5","179.9","315.7","3.6","174.5","323.1","3.6","184.7","317.1","3.5","165.1","281.9","3.5","160.8","271.7","3.4","148.2","255.0","3.7","135.2","266.5","3.8","129.1","267.2","3.4","144.1","244.6","3.7","150.9","257.3","3.7","136.0","250.0","3.6","129.1","233.2","3.6","117.6","225.4","3.2","91.3","190.5","3.2","73.0","185.8","3.2","64.2","173.0","3.7","77.0","196.2"
"Finland","9.2","4205.7","4255.2","9.4","4094.9","4117.2","9.7","4121.9","4095.4","9.5","4740.0","3938.1","8.7","4306.8","3582.8","9.3","4411.2","3779.0","9.0","4548.8","3643.6","8.9","4099.6","3437.2","8.9","4179.8","3356.9","8.1","4315.5","3229.9","7.8","3774.8","2947.5","8.0","3286.4","2746.5","8.0","3111.4","2554.5","7.8","2926.8","2419.8","7.7","2510.0","2217.0","7.4","1971.7","2098.9","7.0","1738.0","1937.3","6.8","1655.9","1826.5"
"France","11.3","4379.7","5011.2","11.5","4257.0","4842.6","11.5","4204.1","4688.6","11.6","4987.9","4655.4","11.4","4900.4","4547.3","11.3","4652.3","4288.6","11.2","4933.4","4218.0","11.2","4593.4","4057.8","11.3","4724.2","3941.5","10.5","4793.8","3711.0","10.3","4314.5","3543.4","10.4","3812.5","3393.3","10.2","3573.6","3135.6","10.2","3452.4","2970.7","10.1","2999.6","2854.9","10.0","2438.2","2876.5","9.7","2190.8","2685.7","9.6","2156.5","2516.2"
"Gabon","2.8","204.5","499.6","3.1","220.0","562.3","2.7","197.9","477.8","2.5","245.5","446.4","2.8","275.0","486.2","2.4","236.6","398.7","2.6","274.1","406.5","2.5","216.7","372.4","3.8","294.1","554.7","2.8","282.1","410.3","3.2","263.2","484.2","3.1","221.0","450.4","2.9","197.8","433.4","3.3","189.4","483.6","3.5","173.0","509.8","3.3","136.6","472.3","3.2","125.3","452.6","2.9","127.4","436.0"
"Gambia","3.3","23.3","55.8","3.0","20.9","48.6","3.1","21.9","51.7","3.5","22.7","55.6","4.1","29.9","66.8","3.9","31.0","97.6","4.0","32.1","95.2","3.4","32.3","92.4","3.5","31.8","89.1","3.5","36.0","87.8","3.6","29.7","81.2","3.3","24.0","75.3","2.8","21.2","67.0","2.5","18.1","60.1","2.3","15.2","54.7","2.4","16.6","46.1","2.4","20.1","47.9","2.7","23.0","44.5"
"Georgia","7.6","293.1","773.3","8.4","308.5","799.2","7.9","280.9","719.2","8.4","349.0","728.3","8.4","334.9","670.7","8.4","323.0","626.3","8.4","290.3","570.0","9.5","262.5","584.1","9.8","247.0","552.3","8.7","255.9","496.1","7.6","177.1","413.5","7.8","136.9","363.3","8.3","118.7","337.2","8.3","94.0","295.5","8.3","72.0","267.2","8.0","59.0","227.2","7.4","50.8","192.7","7.4","47.9","178.5"
"Germany","11.2","5033.5","5922.6","11.1","4734.2","5568.3","11.1","4617.5","5352.0","11.0","5290.7","5186.1","10.9","5094.4","4952.2","10.8","4754.7","4700.6","10.7","5021.6","4579.9","11.0","4597.2","4311.4","11.1","4643.0","4121.4","10.2","4635.9","3857.7","10.0","4166.8","3632.4","10.1","3684.4","3461.6","10.2","3547.2","3268.4","10.1","3443.5","3166.4","10.3","3138.3","3100.1","10.1","2551.6","2968.7","9.9","2341.1","2814.4","9.8","2334.7","2687.0"
"Ghana","3.3","66.7","146.9","3.5","67.5","144.6","4.6","82.4","188.7","4.1","81.5","165.9","4.6","111.0","182.5","4.1","90.4","205.4","4.7","99.8","215.8","4.6","80.9","184.7","4.6","67.2","174.0","4.1","68.2","152.2","4.0","59.2","136.7","3.8","49.6","129.7","3.8","43.5","197.6","2.9","28.4","142.4","2.8","24.4","131.1","2.8","20.1","125.0","3.2","20.3","137.5","2.8","17.2","116.8"
"Greece","8.0","1516.6","2295.3","8.3","1499.4","2257.2","8.1","1464.7","2168.9","7.9","1724.5","2126.9","8.4","1834.3","2188.5","8.9","1968.5","2237.7","9.1","2354.0","2374.4","9.6","2573.7","2691.4","9.5","2816.1","2878.3","8.9","2847.8","2746.1","8.5","2439.3","2478.8","8.3","2063.9","2373.4","8.6","1948.5","2210.0","8.1","1791.7","2075.8","","","","","","","","","","","",""
"Grenada","4.8","497.2","721.1","4.7","463.7","666.7","4.7","440.3","642.8","4.7","404.8","600.9","5.7","451.8","663.3","5.9","450.2","668.5","6.2","460.0","696.5","6.2","456.2","678.2","6.1","449.3","662.9","5.8","462.8","677.7","5.9","433.0","670.7","6.0","408.3","630.3","5.5","368.2","577.2","5.3","310.0","482.4","5.4","312.9","483.5","6.0","316.2","478.7","5.6","285.3","427.0","5.3","272.4","407.1"
"Guatemala","5.8","259.9","474.8","6.0","248.8","478.0","6.0","233.9","464.2","5.9","219.1","448.8","6.2","213.0","448.2","6.0","198.5","422.9","5.9","189.2","406.3","6.1","173.8","404.4","6.4","168.2","411.9","6.3","174.8","407.4","6.4","158.3","402.1","6.6","148.7","390.5","6.4","132.3","355.4","6.5","122.3","349.8","6.5","113.6","335.4","6.3","108.0","321.5","6.4","100.4","314.9","5.7","84.0","244.0"
"Guinea","4.1","33.7","89.2","5.3","37.5","109.2","5.8","42.3","109.1","4.8","35.6","87.8","3.5","25.1","61.4","3.5","22.9","58.2","3.8","23.3","61.6","3.0","19.2","46.6","3.0","18.9","44.1","2.9","19.5","44.0","3.1","19.0","44.8","2.9","12.6","40.3","3.1","14.4","63.4","3.3","17.4","58.2","3.6","18.2","61.1","4.1","17.8","67.9","3.6","15.3","57.0","3.5","15.9","52.7"
"Guinea-Bissau","7.2","52.4","123.3","8.0","52.2","130.1","8.6","50.8","132.7","9.5","57.9","140.2","6.9","42.8","101.5","5.7","34.4","81.9","6.0","41.5","88.9","6.6","36.3","91.2","7.2","39.1","95.4","7.3","42.5","95.1","7.6","36.4","96.2","7.3","30.5","89.3","7.7","32.7","91.5","8.0","31.7","91.1","6.6","24.0","72.8","6.3","20.0","67.8","6.8","20.4","72.9","7.7","22.5","81.6"
"Guyana","4.9","230.5","405.1","5.1","232.9","403.3","4.5","188.0","341.5","5.1","207.4","375.4","5.1","199.0","350.7","4.9","186.0","320.3","5.2","177.7","316.9","5.5","165.3","311.0","5.2","141.6","278.7","4.9","125.9","255.3","5.2","120.5","259.0","5.0","97.7","228.0","5.2","90.6","345.1","4.9","80.9","318.6","4.3","67.9","271.6","4.2","64.7","261.4","4.0","60.2","241.6","3.9","58.0","222.4"
"Haiti","8.0","62.4","146.1","8.4","59.1","150.7","8.6","67.3","152.2","7.8","63.9","136.2","7.2","58.2","122.3","9.7","73.5","156.2","10.2","75.4","159.8","8.1","54.6","119.8","6.2","40.7","96.3","6.0","39.7","91.8","5.9","36.9","88.9","5.5","28.5","79.4","5.5","24.7","76.6","5.9","23.5","78.7","5.8","18.2","79.4","6.0","21.8","81.9","6.6","26.6","90.6","6.9","29.5","94.8"
"Honduras","7.9","195.9","394.8","8.2","194.6","389.9","7.7","180.6","355.9","8.2","183.2","365.3","8.5","181.1","367.2","8.6","188.3","364.5","8.8","186.5","355.8","8.7","168.6","339.2","8.9","162.4","337.9","8.6","152.0","338.2","8.2","130.8","307.4","8.1","117.0","285.7","7.7","101.6","252.7","7.0","86.2","215.5","6.9","81.3","200.6","6.4","73.6","178.4","6.1","69.5","164.3","6.4","70.8","169.5"
"Hungary","6.9","981.4","1979.4","7.1","914.6","1912.6","7.0","870.5","1835.0","7.1","1006.2","1808.4","7.3","990.6","1773.1","7.5","961.1","1722.3","7.5","1063.4","1720.5","7.5","983.1","1617.1","7.2","943.7","1495.7","7.1","1117.2","1467.8","7.2","1003.3","1372.8","7.8","893.2","1427.7","8.0","895.2","1364.6","7.8","798.5","1259.8","8.1","682.9","1254.0","7.1","473.1","1032.8","6.8","359.7","900.8","6.8","313.1","802.7"
"Iceland","8.3","6086.3","4721.4","8.1","5063.6","4311.3","8.2","4281.6","3979.4","8.3","4476.2","3772.5","8.2","4030.8","3594.1","8.2","3706.8","3385.2","8.3","3867.4","3318.0","8.5","3644.8","3352.7","8.9","3693.3","3744.4","8.6","4945.6","3797.9","8.6","6085.1","3627.1","8.8","5071.7","3498.5","9.1","5213.5","3426.0","9.5","4498.0","3381.3","10.0","3955.0","3272.4","9.5","3091.3","3110.2","8.8","2557.3","2822.0","9.0","2873.8","2666.7"
"India","3.5","69.3","253.3","3.5","60.6","233.0","3.6","59.0","220.7","3.6","57.2","206.0","3.7","56.2","197.3","3.3","49.1","163.8","3.2","48.7","150.5","3.3","45.3","145.9","3.5","38.4","143.1","3.5","38.0","135.2","3.5","36.0","130.2","3.6","29.7","122.6","3.8","27.8","117.4","4.0","25.1","111.9","4.0","22.1","103.8","4.2","20.3","101.5","4.3","19.9","98.5","4.0","18.6","88.5"
"Indonesia","3.0","115.0","367.9","3.1","111.3","362.6","3.0","100.4","333.5","3.1","108.8","329.5","3.0","107.2","296.1","2.9","107.1","273.7","3.0","107.4","261.2","3.0","92.2","244.6","2.7","64.9","224.1","2.6","61.8","214.0","2.9","58.0","219.5","2.7","46.1","189.4","2.6","35.4","170.7","2.2","27.1","133.4","2.3","26.6","132.8","2.0","19.9","111.3","2.2","17.7","113.7","1.9","16.2","95.5"
"Iran (Islamic Republic of)","8.7","475.5","1748.4","8.9","454.2","1711.7","7.8","375.1","1333.5","6.9","382.7","1208.7","6.0","413.7","1009.0","6.6","519.3","1115.7","6.6","524.7","1196.0","6.8","440.9","1176.5","6.6","367.6","1080.3","5.3","299.4","873.2","5.0","246.0","827.1","5.2","197.9","787.4","5.3","173.2","748.8","5.2","141.0","682.1","5.1","115.4","644.4","4.8","104.7","545.9","5.1","93.7","555.0","4.7","80.2","504.0"
"Iraq","4.2","210.3","","3.3","149.5","","3.1","154.5","494.8","2.8","187.5","438.5","2.8","195.2","445.1","2.7","178.9","401.0","2.8","163.4","370.2","3.2","145.5","402.4","3.8","163.1","448.5","3.0","129.7","356.2","3.1","97.2","338.7","2.4","56.7","260.1","2.9","53.6","281.0","3.8","53.5","355.0","3.0","28.2","181.6","","","","","","","","",""
"Ireland","7.2","4976.9","5544.7","7.4","4721.1","5268.3","7.3","4565.1","5085.0","9.7","5392.4","4962.4","10.3","5330.2","4948.7","10.7","5239.6","4954.6","10.7","5563.4","4813.0","10.5","5128.5","4557.8","10.5","5480.8","4378.4","9.1","5616.0","4059.5","7.8","4852.2","3697.9","7.5","4143.4","3372.9","7.6","3936.6","3128.9","7.2","3476.9","2822.6","7.0","2904.4","2560.5","6.7","2190.0","2369.7","6.4","1822.1","2100.9","5.9","1561.0","1795.1"
